13,15,16,8,6,10,12,11,4,1,9,7,5,14,3,2
3,9,14,11,8,13,2,4,5,12,10,15,7,16,1,6
6,10,7,2,9,1,5,15,16,3,11,14,12,4,13,8
1,4,12,5,16,3,14,7,6,13,8,2,9,11,15,10
2,13,15,12,1,9,16,8,14,10,3,6,4,5,11,7
5,11,6,16,15,14,3,10,7,2,1,4,13,8,9,12
8,14,4,10,2,5,7,13,15,11,12,9,16,1,6,3
7,1,9,3,12,11,4,6,8,16,13,5,10,2,14,15
15,7,10,4,5,16,11,14,3,9,2,12,1,6,8,13
16,5,8,14,13,7,15,9,1,6,4,10,2,3,12,11
12,3,1,13,4,6,10,2,11,14,5,8,15,7,16,9
9,2,11,6,3,12,8,1,13,15,7,16,14,10,4,5
11,12,3,15,7,4,1,16,10,5,6,13,8,9,2,14
14,8,5,1,11,2,13,12,9,7,16,3,6,15,10,4
4,16,13,9,10,15,6,5,2,8,14,11,3,12,7,1
10,6,2,7,14,8,9,3,12,4,15,1,11,13,5,16
